id,style,name,roles,kind,file,pixel_size,source_index,source_layer_id,source_opacity_pct,source_blend,symbol_units,resolution_class,baked_shadow,source_effects,use,rule,sha256,source_fill_opacity_pct,source_effects_master_enabled,source_composition
R-G02,residential,亮绿灌木地被肌理,"[""grass""]",texture,assets/R-G02.png,"[64, 64]",[29],162,100.0,norm,,small_local_only,False,[],入口花池、景墙旁、庭院边缘,作为种植层次与重点节点，控制亮绿面积，避免全场同亮度。,c52954249702f40464f89ec53761552d1db7c5a4401f056c90600f74a0fe466c,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 162, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-W01,residential,庭院蓝色水面肌理,"[""water""]",texture,assets/R-W01.png,"[192, 192]",[25],153,100.0,norm,,native_pixels,False,[],中心水景、泳池、浅水景观,沿目标水景边界裁切，另设水岸高光和深水边缘层。,c8dc565b28369e46adf744c11e9b64fcf30b7dd8a812c056517bfe824668a25f,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 153, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-P01,residential,米白石材铺装,"[""paving""]",texture,assets/R-P01.png,"[128, 128]",[24],140,100.0,norm,,native_pixels,False,"[{""type"": ""InnerShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 75.0, ""angle"": -137, ""distance"": 3.0, ""size"": 3.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}, {""type"": ""ColorOverlay"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 5.0, ""blend_mode"": ""Mltp""}]",会客庭院、泳池周边、宅间节点,以目标场地重建几何；小样非无缝，拼接后检查颗粒与重复。,8ae44c68f3375e29ca3299f4f545b09d8ed1778206b9d7f5c2f83da073724123,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 140, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-P02,residential,灰色颗粒铺装,"[""paving""]",texture,assets/R-P02.png,"[64, 64]",[22],159,100.0,norm,,small_local_only,False,"[{""type"": ""PatternOverlay"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 85.0, ""angle"": 0.0, ""blend_mode"": ""Nrml"", ""pattern_resource_id"": ""85ac075f-9728-11e5-a572-92ac11040dbd""}]",休闲平台、铺装嵌条、小块硬地,原有效纹理较窄，只作局部取样；大面积使用前检查清晰度。,481c51b08a004b055973a7d67fe420868c792f34b8dbde038256e72121b2aabe,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 159, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T01,residential,深绿双株乔木组合,"[""tree""]",symbol,assets/R-T01.png,"[296, 158]",[42],33,54.9,norm,2,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 90.0, ""angle"": -137, ""distance"": 71.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅间组团、道路林荫、庭院背景；秋色树用于局部点景,保持源树冠细节和柔和树影；遵循图层源透明度起调，色调与光向统一。,6922aca4805784d4ed73f951e88966031b8ae1cb3663c6f0bb44a20f2aa8d500,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 33, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T02,residential,中绿三株乔木组合,"[""tree""]",symbol,assets/R-T02.png,"[238, 239]",[40],32,50.2,norm,3,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 95.0, ""angle"": -137, ""distance"": 50.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅间组团、道路林荫、庭院背景；秋色树用于局部点景,保持源树冠细节和柔和树影；遵循图层源透明度起调，色调与光向统一。,471031f89870c8f6cecdf181b0b6296f129628243a798aa082840c0cec09dfa2,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 32, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T03,residential,浅中绿三株乔木组合,"[""tree""]",symbol,assets/R-T03.png,"[249, 233]",[40],32,50.2,norm,3,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 95.0, ""angle"": -137, ""distance"": 50.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅间组团、道路林荫、庭院背景；秋色树用于局部点景,保持源树冠细节和柔和树影；遵循图层源透明度起调，色调与光向统一。,df09b6333402a102fbae46123d602a298e6386540052d4a3090b98a8fa24c4c3,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 32, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T04,residential,浅绿单株树冠,"[""tree""]",symbol,assets/R-T04.png,"[118, 118]",[41],36,80.0,norm,1,small_local_only,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 66.0, ""angle"": -137, ""distance"": 40.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅间组团、道路林荫、庭院背景；秋色树用于局部点景,保持源树冠细节和柔和树影；遵循图层源透明度起调，色调与光向统一。,fc4b11d01bc3dbde82615200f51f9fe31d5df58fc6f3da958bdb3871cf59df7f,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 36, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T05,residential,秋色点景单株乔木,"[""tree""]",symbol,assets/R-T05.png,"[142, 144]",[43],35,70.2,norm,1,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 70.0, ""angle"": -137, ""distance"": 55.0, ""size"": 1.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅间组团、道路林荫、庭院背景；秋色树用于局部点景,保持源树冠细节和柔和树影；遵循图层源透明度起调，色调与光向统一。,d9811e180115b63706598ace1215addee1f41fe21571d8a959906e1acb1159cd,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 35, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T06,residential,小冠三株树组,"[""tree""]",symbol,assets/R-T06.png,"[206, 107]",[39],34,70.2,norm,3,small_local_only,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 75.0, ""angle"": -137, ""distance"": 27.0, ""size"": 5.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅间组团、道路林荫、庭院背景；秋色树用于局部点景,保持源树冠细节和柔和树影；遵循图层源透明度起调，色调与光向统一。,e2fcd7b2c32dd2b59280f6e5fca6d33292146889748cdb7c18ba3b7f14736daf,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 34, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T07,residential,深绿单株乔木,"[""tree""]",symbol,assets/R-T07.png,"[158, 162]",[42],33,54.9,norm,1,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 90.0, ""angle"": -137, ""distance"": 71.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",连续行道树、宅间组团补点,按单株冠幅缩放，与深绿双株树组搭配；光向统一。,cc24667a16b5a61563c28424afc8a0e59d57e3c75819673819327de1dd4f651c,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 33, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-T08,residential,中绿单株乔木,"[""tree""]",symbol,assets/R-T08.png,"[135, 135]",[40],32,50.2,norm,1,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 95.0, ""angle"": -137, ""distance"": 50.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",宅前、步道旁、林缘疏密过渡,用单株与三株组打散重复节奏；调整源图 50.2% 透明度。,1bd737ade65287894cf757ddd3413768b1b043ebe3d9670abaf05c62057577b3,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 32, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-F01,residential,庭院遮阳伞,"[""furniture""]",symbol,assets/R-F01.png,"[68, 73]",[38],166,100.0,norm,,small_local_only,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 65.0, ""angle"": -137, ""distance"": 17.0, ""size"": 2.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}, {""type"": ""ColorOverlay"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 8.0, ""blend_mode"": ""Nrml""}]",有休憩需求的庭院、泳池外场,按目标方案布置座椅节点；保持通行面完整。,69bbe56229a2b1d37cc1ee9c42fac92ab27ca0fbe044cd6d45a09c7eec209658,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 166, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-F02,residential,休闲躺椅组,"[""furniture""]",symbol,assets/R-F02.png,"[129, 165]",[37],164,100.0,norm,,native_pixels,False,[],泳池边、度假式休憩平台,按实际功能使用；源像素较小，需检查最终图面清晰度。,bc87985500cf9a597cba88bb5ab16bd035944a35f4e1e46e722c3f3ab1ea9c64,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 164, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-V01,residential,场地车辆,"[""vehicle""]",symbol,assets/R-V01.png,"[77, 94]",[36],163,100.0,norm,,small_local_only,False,[],目标道路、明确的停车位,沿车道方向摆放；车长以目标图面尺度校准。,334d03704c7521bd2abefefb72fdf29b878cd0e5f652aa92120c503f7d520460,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 163, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-H01,residential,俯视人物组合,"[""person""]",symbol,assets/R-H01.png,"[55, 71]",[44],52,100.0,norm,,small_local_only,False,[],广场、庭院、休闲步道,小比例尺活动示意；保持人在步行空间内，作为低密度配景。,61f900de705196142d0eea46e8448b5b337ff84b5afce636a7b1d1f69b44f67f,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""residential"", ""layer_id"": 52, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
R-REF01,residential,宅间草地与乔木层次,"[""reference""]",reference,examples/R-REF01.jpg,"[1600, 623]",,,,,,reference,False,[],住宅楼间、宅前宅后,草地纹理、乔木、灌木/地被、步道、建筑投影共同形成丰富度。,67907cdf1c5b8b172b8b5c162213479ff5704c4caf9783607c71375dc51392d2,,,
R-REF02,residential,水景会客庭院,"[""reference""]",reference,examples/R-REF02.jpg,"[1600, 771]",,,,,,reference,False,[],中心庭院、入口轴线节点,借鉴水面、池岸、铺装、绿岛、遮阳伞及坐席组合；形状按目标方案重建。,39b9fe9262a0004e331e71382a9ad1077086306295d729d3b8320a33af1ce679,,,
R-REF03,residential,停车与宅间道路,"[""reference""]",reference,examples/R-REF03.jpg,"[1600, 392]",,,,,,reference,False,[],住宅内部路网、停车带,停车线、路缘、树带与铺装材质形成尺度；以项目道路几何为准。,0ac281434569ce05bb9ed7504d3daea612875c8e06f7b29f947dec060de7cac1,,,
R-REF04,residential,住宅屋面与建筑投影,"[""reference""]",reference,examples/R-REF04.jpg,"[1600, 629]",,,,,,reference,False,[],住宅建筑区,建筑轮廓、屋面细节、檐口与投影分层；不复制源建筑平面或楼号。,b8fed5da513b4b4f0908eb23468d71461e6f7f57f83388fca3dadea87b6d7847,,,
R-REF05,residential,住宅滨水公园过渡,"[""reference""]",reference,examples/R-REF05.jpg,"[770, 1200]",,,,,,reference,False,[],住宅配套公园、外侧滨水带,降低外围对比度，保留连续步道和开放草坪；主体与背景分级。,8f4a1cce8b7996af432980acd49b8def6317ed03612327ad7774f9962102011d,,,
M-G01,landscape,细颗粒草地基底,"[""grass""]",texture,assets/M-G01.png,"[512, 512]",[2],288,100.0,norm,,native_pixels,False,[],现代公园草坡、开放绿地,以目标绿地蒙版剪贴，再用 M-G02 增加自然明暗。,9aa730bb4957827fdd04129a3b781ce662920d263266782261d7cd53a5f4a598,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 288, ""clipping_base_layer_id"": 18, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-G02,landscape,自然草地叠加肌理,"[""grass""]",texture,assets/M-G02.png,"[512, 512]",[3],289,100.0,over,,native_pixels,False,[],地形绿地、林缘、坡面,源图为叠加 100% 剪贴层；需有 M-G01 或统一草地底色。,b13a89d7ef4f1e75cf644bba08848e4c79af7ed9ecb1c43e6ecc2702f9379a0b,32.941,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 289, ""clipping_base_layer_id"": 18, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-P01,landscape,浅灰条石铺装,"[""paving""]",texture,assets/M-P01.png,"[256, 256]",[8],66,100.0,norm,,native_pixels,False,"[{""type"": ""Stroke"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 100.0, ""angle"": 0.0, ""size"": 4.0, ""blend_mode"": ""Nrml""}]",台阶平台、亲水节点,原层含原项目蒙版，取样不带蒙版；按目标铺装方向控制缝线。,b84b48ba315932ce6b76545023a4802c69962337773c594bfa6b0a3f74d908b8,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 66, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-P02,landscape,暖褐斑驳铺装,"[""paving""]",texture,assets/M-P02.png,"[64, 64]",[10],47,100.0,norm,,small_local_only,False,[],曲线步道的重点嵌带、转折节点,小面积使用；不照搬源步道轮廓。,442eb470a79127fe6afdb5c83fd392cb5dbbbb59b9c2c5739ccdf25aae70d029,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 47, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-W01,landscape,蓝绿斑驳水面,"[""water""]",texture,assets/M-W01.png,"[512, 512]",[14],294,100.0,norm,,native_pixels,False,[],景观水池、线性水景、曲线水岸,源为剪贴层，叠于蓝绿色水域底色；池岸单独建立。,6ba446c6b2a7197f964a9a3eff1ae2e2de56a06437f6310bbc0252629b0b9590,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 294, ""clipping_base_layer_id"": 55, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-D01,landscape,棕灰细木板,"[""wood""]",texture,assets/M-D01.png,"[512, 512]",[17],63,100.0,norm,,native_pixels,False,[],木平台、亲水看台,源素材经过旋转；纹理不保证无缝，按目标板缝方向调整。,86987634a14db31143654ee14ad508a5bf4db59f930e6e8cc89dbe9e8006bdae,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 63, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-T01,landscape,中绿轻盈乔木,"[""tree""]",symbol,assets/M-T01.png,"[256, 280]",[39],296,63.1,norm,1,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 45.0, ""angle"": -149, ""distance"": 47.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",现代公园林缘、坡地、小树组,源不透明度 63.1%；透明边缘保留，树影另按目标光向。,f983a88c651cab4a520eb79ef118599a1b9c82718d07d7a1ffdff0d93018e725,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 296, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-T02,landscape,金黄疏透乔木,"[""tree""]",symbol,assets/M-T02.png,"[277, 259]",[40],295,76.9,norm,1,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 45.0, ""angle"": -149, ""distance"": 89.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",开放草坡、浅色铺装旁,源不透明度 76.9%；树冠疏透，避免叠加过密。,5da6e1c0bb67d6110287d60bf25536a98d63b1d0a0a331bb1012c3c1abc069b5,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 295, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-T03,landscape,黄绿圆冠乔木,"[""tree""]",symbol,assets/M-T03.png,"[444, 422]",[41],291,78.8,norm,1,native_pixels,False,"[{""type"": ""DropShadow"", ""enabled"": true, ""active_in_saved_composite"": true, ""opacity"": 45.0, ""angle"": -149, ""distance"": 124.0, ""size"": 0.0, ""use_global_light"": true, ""blend_mode"": ""Mltp""}]",现代景观主体树组、入口点树,源不透明度 78.8%；与 M-T01 和 M-T02 形成层次。,694d8048ae61e44c8079f89b2cf445b20e651fc92fa526f271998947c1a220d1,100.0,True,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 291, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
M-T04,landscape,粉白花树冠,"[""tree""]",symbol,assets/M-T04.png,"[343, 364]",[42],300,100.0,norm,1,native_pixels,False,[],重点转折、入口小节点,按表现需要局部点景；颜色不作为真实树种确认。,7caea026eecef82525a9ff6773ebadc9ad46624e37efac4cf1511287f27a26c7,100.0,False,"{""audit"": ""library/composition-audit.json"", ""source_id"": ""landscape"", ""layer_id"": 300, ""clipping_base_layer_id"": null, ""clip_layer_ids"": [], ""parent_layer_ids"": []}"
